coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
22817530,Primula_angustifolia,9087083,325812,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22817530.jpg,0,8,0,FALSE,1,1,A31UH0A9NEL2XF,20842,9.77,2024/4/16,22:35:23,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22817511,Primula_angustifolia,9087183,325810,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22817511.jpg,0,2,2,FALSE,1,1,A31UH0A9NEL2XF,20842,10.01,2024/4/16,22:35:42,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
24232552,Primula_angustifolia,9086993,325815,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.24232552.jpg,0,5,0,FALSE,1,3,A31UH0A9NEL2XF,20842,10.39,2024/4/16,22:34:59,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
20868475,Primula_angustifolia,9086109,325804,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.20868475.jpg,0,5,0,FALSE,1,1,APJN2T4RCNC8G,19694,21.07,2024/4/16,22:32:25,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
20469609,Primula_angustifolia,9086227,325803,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.20469609.jpg,0,1,0,FALSE,1,2,APJN2T4RCNC8G,19694,15.93,2024/4/16,22:32:42,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22005601,Primula_angustifolia,9086506,325807,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22005601.jpg,4,4,0,FALSE,1,3,APJN2T4RCNC8G,19694,53.32,2024/4/16,22:33:40,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22817438,Primula_angustifolia,9086533,325809,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22817438.jpg,0,2,0,FALSE,1,1,A31UH0A9NEL2XF,20842,12.79,2024/4/16,22:33:49,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22817521,Primula_angustifolia,9086630,325811,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22817521.jpg,0,3,0,FALSE,1,2,A31UH0A9NEL2XF,20842,9.62,2024/4/16,22:34:03,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22817568,Primula_angustifolia,9086689,325814,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22817568.jpg,0,2,0,FALSE,1,3,A31UH0A9NEL2XF,20842,8.26,2024/4/16,22:34:13,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
20328621,Primula_angustifolia,9086761,325801,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.20328621.jpg,0,8,0,FALSE,1,4,APJN2T4RCNC8G,19694,32.27,2024/4/16,22:34:32,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22817550,Primula_angustifolia,9086742,325813,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22817550.jpg,0,3,0,FALSE,1,4,A31UH0A9NEL2XF,20842,8.82,2024/4/16,22:34:28,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
24632420,Primula_angustifolia,9086840,325817,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.24632420.jpg,0,2,0,FALSE,1,5,A31UH0A9NEL2XF,20842,7.38,2024/4/16,22:34:40,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22005608,Primula_angustifolia,9087074,325808,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22005608.jpg,0,18,2,FALSE,1,5,APJN2T4RCNC8G,19694,47.43,2024/4/16,22:35:22,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
21309877,Primula_angustifolia,9087150,325805,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.21309877.jpg,0,5,0,FALSE,1,6,APJN2T4RCNC8G,19694,11.02,2024/4/16,22:35:34,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
22817568,Primula_angustifolia,9087131,325814,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.22817568.jpg,0,2,0,TRUE,1,8,A31UH0A9NEL2XF,20842,7.28,2024/4/16,22:35:31,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
24232567,Primula_angustifolia,9087245,325816,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.24232567.jpg,0,3,0,FALSE,1,10,A31UH0A9NEL2XF,20842,8.14,2024/4/16,22:35:54,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
20469523,Primula_angustifolia,9087287,325802,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.20469523.jpg,0,5,0,FALSE,1,7,APJN2T4RCNC8G,19694,23.29,2024/4/16,22:35:59,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
19826135,Primula_angustifolia,9087365,325800,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.19826135.jpg,0,2,0,FALSE,1,8,APJN2T4RCNC8G,19694,11.69,2024/4/16,22:36:13,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
21867988,Primula_angustifolia,9087530,325806,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.21867988.jpg,0,7,0,FALSE,1,9,APJN2T4RCNC8G,19694,19.71,2024/4/16,22:36:34,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
21309877,Primula_angustifolia,9087637,325805,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.21309877.jpg,0,5,0,TRUE,1,10,APJN2T4RCNC8G,19694,14.58,2024/4/16,22:36:57,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
15924345,Primula_angustifolia,9087813,325791,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.15924345.jpg,0,5,0,FALSE,2,1,APJN2T4RCNC8G,19694,23.91,2024/4/16,22:37:35,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
16899865,Primula_angustifolia,9087992,325795,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.16899865.jpg,0,3,0,FALSE,2,2,APJN2T4RCNC8G,19694,18.17,2024/4/16,22:38:02,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
16904382,Primula_angustifolia,9088232,325797,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.16904382.jpg,0,10,0,FALSE,2,3,APJN2T4RCNC8G,19694,36.67,2024/4/16,22:38:41,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
19804176,Primula_angustifolia,9088348,325799,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.19804176.jpg,0,2,0,FALSE,2,4,APJN2T4RCNC8G,19694,12.59,2024/4/16,22:38:55,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
16905263,Primula_angustifolia,9088482,325798,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_angustifolia/images/Primula_angustifolia.16905263.jpg,0,12,0,FALSE,2,5,APJN2T4RCNC8G,19694,21.92,2024/4/16,22:39:19,341YLJU221JM3LYXM6VWV9PVPFT2IX,FALSE
