coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
14410675,14410675,Primula_pauciflora,Primula_pauciflora,9080827,9081859,326455,326455,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.14410675.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.14410675.jpg,0,0,6,6,0,0,FALSE,TRUE,1,1,2,8,A2QSU7FM0XBJ8I,A2QSU7FM0XBJ8I,21994,21994,22.36,17.64,2024/4/16,2024/4/16,22:12:47,22:17:38,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
7838137,7838137,Primula_pauciflora,Primula_pauciflora,9089874,9091710,326444,326444,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.7838137.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.7838137.jpg,0,0,6,6,0,1,FALSE,TRUE,1,1,6,10,A17X0EYRLUHM24,A17X0EYRLUHM24,22751,22751,40.71,41.04,2024/4/16,2024/4/16,22:42:14,22:46:38,93,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
4121807,4121807,Primula_pauciflora,Primula_pauciflora,9094673,9096703,326433,326433,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.4121807.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.4121807.jpg,0,0,5,5,2,3,FALSE,TRUE,2,2,5,9,A17X0EYRLUHM24,A17X0EYRLUHM24,22751,22751,110.22,96.11,2024/4/16,2024/4/16,22:55:46,23:02:07,94,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
12969400,12969400,Primula_pauciflora,Primula_pauciflora,9099014,9099608,326448,326448,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.12969400.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.12969400.jpg,2,3,8,10,0,0,FALSE,TRUE,1,1,5,7,A2QSU7FM0XBJ8I,A2QSU7FM0XBJ8I,21994,21994,36.44,31.45,2024/4/16,2024/4/16,23:09:18,23:10:46,87,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
1677856,1677856,Primula_pauciflora,Primula_pauciflora,9112299,9112824,326382,326382,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.1677856.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.1677856.jpg,2,1,0,0,8,14,FALSE,TRUE,1,1,2,7,A1OIBI3PWS4R5K,A1OIBI3PWS4R5K,676,676,24.92,33.4,2024/4/17,2024/4/17,0:08:19,0:10:31,72,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
1625517,1625517,Primula_pauciflora,Primula_pauciflora,9127599,9127766,326373,326373,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.1625517.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.1625517.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,6,10,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.84,5.45,2024/4/17,2024/4/17,1:09:05,1:09:40,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
1618300,1618300,Primula_pauciflora,Primula_pauciflora,9127843,9127986,326372,326372,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.1618300.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.1618300.jpg,0,0,2,1,0,0,FALSE,TRUE,2,2,1,4,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.24,5.48,2024/4/17,2024/4/17,1:09:55,1:10:21,67,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
519679,519679,Primula_pauciflora,Primula_pauciflora,9128471,9128580,326356,326356,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.519679.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.519679.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,6,9,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.25,6.96,2024/4/17,2024/4/17,1:12:13,1:12:40,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
506940,506940,Primula_pauciflora,Primula_pauciflora,9128889,9128971,326349,326349,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506940.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506940.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,8,10,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.3,6.57,2024/4/17,2024/4/17,1:14:11,1:14:29,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
506923,506923,Primula_pauciflora,Primula_pauciflora,9129044,9129105,326341,326341,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506923.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506923.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,2,4,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.87,5.75,2024/4/17,2024/4/17,1:14:55,1:15:11,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
506915,506915,Primula_pauciflora,Primula_pauciflora,9129377,9129470,326333,326333,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506915.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506915.jpg,0,0,1,1,0,0,FALSE,TRUE,6,6,5,9,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.39,5.75,2024/4/17,2024/4/17,1:17:08,1:17:42,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
506908,506908,Primula_pauciflora,Primula_pauciflora,9129589,9129744,326327,326327,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506908.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.506908.jpg,0,0,1,1,0,0,FALSE,TRUE,7,7,2,9,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.36,5.83,2024/4/17,2024/4/17,1:18:22,1:19:21,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
24741550,24741550,Primula_pauciflora,Primula_pauciflora,9129817,9129910,326314,326314,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.24741550.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.24741550.jpg,0,0,1,1,0,0,FALSE,TRUE,8,8,1,5,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,8.43,5.44,2024/4/17,2024/4/17,1:19:50,1:20:22,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
21951517,21951517,Primula_pauciflora,Primula_pauciflora,9130218,9130300,326309,326309,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.21951517.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Primula_pauciflora/images/Primula_pauciflora.21951517.jpg,0,0,1,1,0,0,FALSE,TRUE,9,9,6,9,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.28,6.33,2024/4/17,2024/4/17,1:22:17,1:22:43,100,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,33J5JKFMLPIO51IZ3EEANLL9M39Q3Y,FALSE,FALSE
