coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
25250914,Pyrola_minor,9077606,327278,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.25250914.jpg,0,25,0,FALSE,1,1,A3EPXUXQW7T8BL,18918,35.07,2024/4/16,22:00:34,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
24312103,Pyrola_minor,9083110,327272,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.24312103.jpg,0,0,5,FALSE,1,1,A31UH0A9NEL2XF,20842,14.37,2024/4/16,22:22:26,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
21976441,Pyrola_minor,9082805,327268,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.21976441.jpg,0,0,7,FALSE,1,2,A31UH0A9NEL2XF,20842,16.18,2024/4/16,22:21:15,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
21979185,Pyrola_minor,9083043,327270,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.21979185.jpg,0,0,8,FALSE,1,3,A31UH0A9NEL2XF,20842,8.69,2024/4/16,22:22:11,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
25160098,Pyrola_minor,9083187,327273,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.25160098.jpg,0,0,19,FALSE,1,4,A31UH0A9NEL2XF,20842,11.8,2024/4/16,22:22:39,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
25237291,Pyrola_minor,9083401,327275,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.25237291.jpg,0,0,10,FALSE,1,5,A31UH0A9NEL2XF,20842,12.4,2024/4/16,22:23:25,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
21976482,Pyrola_minor,9082885,327269,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.21976482.jpg,0,0,4,FALSE,1,2,A31UH0A9NEL2XF,20842,10.63,2024/4/16,22:21:33,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
21976440,Pyrola_minor,9082927,327267,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.21976440.jpg,0,0,3,FALSE,1,3,A31UH0A9NEL2XF,20842,8.84,2024/4/16,22:21:43,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
25236332,Pyrola_minor,9082995,327274,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.25236332.jpg,0,0,5,FALSE,1,4,A31UH0A9NEL2XF,20842,10.53,2024/4/16,22:22:01,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
22003341,Pyrola_minor,9083252,327271,https://crowdcurio-experiment-images.s3.amazonaws.com/Pyrola_minor/images/Pyrola_minor.22003341.jpg,0,0,2,FALSE,1,8,A31UH0A9NEL2XF,20842,8.18,2024/4/16,22:22:51,30QQTY5GN34YYDQ3MZ15A3UEUQ27UQ,FALSE
