coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
28054333,28054333,Ranunculus_inamoenus,Ranunculus_inamoenus,8675418,8676611,301930,301930,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.28054333.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.28054333.jpg,5,2,7,7,6,4,FALSE,TRUE,1,1,3,9,AHM4FX2ZWTHRT,AHM4FX2ZWTHRT,20804,20804,140.65,70.65,2024/4/15,2024/4/15,21:31:00,21:37:29,84,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
24745785,24745785,Ranunculus_inamoenus,Ranunculus_inamoenus,8676777,8677298,301909,301909,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.24745785.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.24745785.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,1,8,A10IHO8AGIWFNG,A10IHO8AGIWFNG,19997,19997,19.62,64.46,2024/4/15,2024/4/15,21:38:33,21:41:53,100,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
24720345,24720345,Ranunculus_inamoenus,Ranunculus_inamoenus,8678890,8679104,301908,301908,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.24720345.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.24720345.jpg,2,1,4,5,0,0,FALSE,TRUE,1,1,4,6,A1MJX6Q6BTWA6,A1MJX6Q6BTWA6,8187,8187,46.39,20.36,2024/4/15,2024/4/15,21:48:29,21:49:46,84,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
13796441,13796441,Ranunculus_inamoenus,Ranunculus_inamoenus,8678474,8679288,301735,301735,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.13796441.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.13796441.jpg,0,0,6,5,8,8,FALSE,TRUE,1,1,1,3,APRZ7BR8C0ZMQ,APRZ7BR8C0ZMQ,580,580,64.81,185.5,2024/4/15,2024/4/15,21:46:49,21:50:47,97,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
24617992,24617992,Ranunculus_inamoenus,Ranunculus_inamoenus,8678124,8679490,301896,301896,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.24617992.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.24617992.jpg,6,7,0,0,0,0,FALSE,TRUE,1,1,3,8,A3F4HU9PFUKQAB,A3F4HU9PFUKQAB,21081,21081,28.31,22.95,2024/4/15,2024/4/15,21:45:32,21:51:38,93,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
6652716,6652716,Ranunculus_inamoenus,Ranunculus_inamoenus,8679976,8680708,301707,301707,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.6652716.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.6652716.jpg,0,0,1,1,1,1,FALSE,TRUE,2,2,1,5,A1MJX6Q6BTWA6,A1MJX6Q6BTWA6,8187,8187,39.71,24.31,2024/4/15,2024/4/15,21:53:27,21:56:30,100,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
6080640,6080640,Ranunculus_inamoenus,Ranunculus_inamoenus,8680941,8681129,301699,301699,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.6080640.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.6080640.jpg,0,0,3,4,1,0,FALSE,TRUE,2,2,3,5,APRZ7BR8C0ZMQ,APRZ7BR8C0ZMQ,580,580,22.14,22.98,2024/4/15,2024/4/15,21:57:16,21:57:55,75,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
4571176,4571176,Ranunculus_inamoenus,Ranunculus_inamoenus,8681819,8683032,301668,301668,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.4571176.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.4571176.jpg,1,1,4,3,0,0,FALSE,TRUE,3,3,1,7,A1MJX6Q6BTWA6,A1MJX6Q6BTWA6,8187,8187,60.36,25.8,2024/4/15,2024/4/15,22:00:45,22:05:21,89,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
4091603,4091603,Ranunculus_inamoenus,Ranunculus_inamoenus,8684806,8685695,301659,301659,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.4091603.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.4091603.jpg,0,1,7,7,2,2,FALSE,TRUE,4,4,5,10,A1MJX6Q6BTWA6,A1MJX6Q6BTWA6,8187,8187,29.5,41.76,2024/4/15,2024/4/15,22:12:19,22:15:27,95,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
4091521,4091521,Ranunculus_inamoenus,Ranunculus_inamoenus,8685969,8687010,301655,301655,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.4091521.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Ranunculus_inamoenus/images/Ranunculus_inamoenus.4091521.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,7,A125AOX978LDG7,A125AOX978LDG7,978,978,17.84,15.91,2024/4/15,2024/4/15,22:16:18,22:19:50,100,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,3JMNNNO3CKO44GI2BNZBW0Y33OU2W2,FALSE,FALSE
