coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
510108,510108,Rosa_arkansana,Rosa_arkansana,9373156,9373383,327750,327750,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.510108.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.510108.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,5,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,6.34,12.16,2024/4/17,2024/4/17,15:45:02,15:45:40,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
22001225,22001225,Rosa_arkansana,Rosa_arkansana,9374903,9375295,327833,327833,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.22001225.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.22001225.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,4,10,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,5.26,12.52,2024/4/17,2024/4/17,15:49:22,15:50:33,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
13793199,13793199,Rosa_arkansana,Rosa_arkansana,9376268,9376515,327789,327789,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13793199.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13793199.jpg,1,1,1,1,0,0,FALSE,TRUE,1,1,6,8,ANWKES7DJ3ZF8,ANWKES7DJ3ZF8,22473,22473,24.22,17.51,2024/4/17,2024/4/17,15:53:03,15:54:04,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
20605026,20605026,Rosa_arkansana,Rosa_arkansana,9380761,9381300,327817,327817,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.20605026.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.20605026.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,8,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,15.79,7.83,2024/4/17,2024/4/17,16:05:44,16:07:05,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
13288172,13288172,Rosa_arkansana,Rosa_arkansana,9383329,9383744,327778,327778,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13288172.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13288172.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,5,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,10.15,8.97,2024/4/17,2024/4/17,16:12:41,16:13:55,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
13793203,13793203,Rosa_arkansana,Rosa_arkansana,9382924,9384038,327793,327793,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13793203.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13793203.jpg,0,0,0,0,7,5,FALSE,TRUE,1,1,3,8,A37GR0H4FC84HY,A37GR0H4FC84HY,22320,22320,15.02,39.21,2024/4/17,2024/4/17,16:11:23,16:14:57,84,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
3040124,3040124,Rosa_arkansana,Rosa_arkansana,9384441,9384994,327763,327763,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.3040124.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.3040124.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,7,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,8.46,23.21,2024/4/17,2024/4/17,16:17:55,16:19:44,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
20606212,20606212,Rosa_arkansana,Rosa_arkansana,9385710,9386336,327822,327822,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.20606212.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.20606212.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,4,10,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,16.74,15.82,2024/4/17,2024/4/17,16:21:38,16:23:08,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
13936344,13936344,Rosa_arkansana,Rosa_arkansana,9386766,9388102,327803,327803,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13936344.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.13936344.jpg,0,0,0,0,1,1,FALSE,TRUE,4,4,2,7,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,16.47,17.26,2024/4/17,2024/4/17,16:24:01,16:27:12,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
1413710,1413710,Rosa_arkansana,Rosa_arkansana,9388685,9388938,327757,327757,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.1413710.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_arkansana/images/Rosa_arkansana.1413710.jpg,0,0,0,0,1,1,FALSE,TRUE,5,5,1,3,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,16.49,14.34,2024/4/17,2024/4/17,16:28:48,16:29:29,100,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,3APP19WN8KYWPVB3JK7W0ATRQ816GQ,FALSE,FALSE
