coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
20991033,Rosa_nutkana,9372932,327736,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.20991033.jpg,0,2,0,FALSE,1,1,AN5PD7VQXFSID,21277,28.94,2024/4/17,15:44:23,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
20991026,Rosa_nutkana,9372782,327734,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.20991026.jpg,0,3,6,FALSE,1,2,AN5PD7VQXFSID,21277,6.66,2024/4/17,15:43:52,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
24033889,Rosa_nutkana,9372409,327743,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.24033889.jpg,0,1,0,FALSE,1,1,A21S5WXCFUZQ3F,19418,34.86,2024/4/17,15:42:31,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
22001268,Rosa_nutkana,9372484,327741,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.22001268.jpg,1,4,0,FALSE,1,2,A21S5WXCFUZQ3F,19418,16.23,2024/4/17,15:42:51,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
13794426,Rosa_nutkana,,327730,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.13794426.jpg,1,3,0,FALSE,1,3,AN5PD7VQXFSID,21277,0,,,,FALSE
22001265,Rosa_nutkana,9373280,327738,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.22001265.jpg,0,0,2,FALSE,1,3,A21S5WXCFUZQ3F,19418,148.89,2024/4/17,15:45:23,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
4092333,Rosa_nutkana,9373470,327714,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.4092333.jpg,1,2,0,FALSE,1,1,A3MSYMSTHZJI98,15070,236.97,2024/4/17,15:45:50,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
4092337,Rosa_nutkana,9373572,327717,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.4092337.jpg,4,1,0,FALSE,1,2,A3MSYMSTHZJI98,15070,19.43,2024/4/17,15:46:12,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
28881405,Rosa_nutkana,9373516,327746,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.28881405.jpg,0,2,0,FALSE,1,4,A21S5WXCFUZQ3F,19418,34.45,2024/4/17,15:46:01,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
4092328,Rosa_nutkana,9373697,327712,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_nutkana/images/Rosa_nutkana.4092328.jpg,0,2,2,FALSE,1,3,A3MSYMSTHZJI98,15070,14.58,2024/4/17,15:46:28,3CZH926SJVYKQUBYU1OT39O1H1GE4W,FALSE
