coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
29063749,29063749,Rosa_woodsii,Rosa_woodsii,9373567,9373880,328945,328945,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.29063749.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.29063749.jpg,0,0,0,0,3,3,FALSE,TRUE,1,1,7,10,AOPTWDWJVIVZA,AOPTWDWJVIVZA,22740,22740,6.58,7.55,2024/4/17,2024/4/17,15:46:11,15:46:54,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
30719189,30719189,Rosa_woodsii,Rosa_woodsii,9373481,9374043,328958,328958,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.30719189.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.30719189.jpg,3,3,1,1,0,0,FALSE,TRUE,1,1,3,7,A1GYII3R62TH65,A1GYII3R62TH65,21490,21490,28.4,24.16,2024/4/17,2024/4/17,15:45:54,15:47:20,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
25286677,25286677,Rosa_woodsii,Rosa_woodsii,9373644,9374244,328934,328934,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.25286677.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.25286677.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,10,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.62,6.07,2024/4/17,2024/4/17,15:46:22,15:47:50,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
20998342,20998342,Rosa_woodsii,Rosa_woodsii,9374539,9374885,328909,328909,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.20998342.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.20998342.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,3,9,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.01,6.11,2024/4/17,2024/4/17,15:48:25,15:49:19,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
21952002,21952002,Rosa_woodsii,Rosa_woodsii,9374175,9375048,328914,328914,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.21952002.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.21952002.jpg,0,2,1,1,2,0,FALSE,TRUE,2,2,2,10,AOPTWDWJVIVZA,AOPTWDWJVIVZA,22740,22740,8.61,10.66,2024/4/17,2024/4/17,15:47:36,15:49:53,34,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
24745638,24745638,Rosa_woodsii,Rosa_woodsii,9374797,9375121,328931,328931,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.24745638.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.24745638.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,6,9,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,19.31,17.71,2024/4/17,2024/4/17,15:49:03,15:50:02,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
19826406,19826406,Rosa_woodsii,Rosa_woodsii,9375004,9375502,328891,328891,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.19826406.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.19826406.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,1,10,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.61,6.61,2024/4/17,2024/4/17,15:49:44,15:51:11,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13794267,13794267,Rosa_woodsii,Rosa_woodsii,9375612,9376106,328852,328852,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13794267.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13794267.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,1,8,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.41,5.13,2024/4/17,2024/4/17,15:51:28,15:52:36,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793440,13793440,Rosa_woodsii,Rosa_woodsii,9376683,9376798,328834,328834,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793440.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793440.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,7,9,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,7.8,6.31,2024/4/17,2024/4/17,15:54:26,15:54:44,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
20327931,20327931,Rosa_woodsii,Rosa_woodsii,9375325,9377110,328903,328903,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.20327931.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.20327931.jpg,2,2,5,5,0,0,FALSE,TRUE,2,2,3,8,A1GYII3R62TH65,A1GYII3R62TH65,21490,21490,36.31,31.87,2024/4/17,2024/4/17,15:50:38,15:55:30,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793406,13793406,Rosa_woodsii,Rosa_woodsii,9377058,9377537,328813,328813,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793406.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793406.jpg,0,0,1,1,0,0,FALSE,TRUE,6,6,1,8,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.2,8.48,2024/4/17,2024/4/17,15:55:24,15:56:33,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13794041,13794041,Rosa_woodsii,Rosa_woodsii,9377666,9377902,328847,328847,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13794041.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13794041.jpg,3,1,1,0,1,1,FALSE,TRUE,1,1,6,8,A21S5WXCFUZQ3F,A21S5WXCFUZQ3F,19418,19418,25.25,8.23,2024/4/17,2024/4/17,15:56:51,15:57:24,58,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793383,13793383,Rosa_woodsii,Rosa_woodsii,9377910,9378467,328803,328803,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793383.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793383.jpg,0,0,1,1,0,0,FALSE,TRUE,7,7,2,9,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,7.36,5.13,2024/4/17,2024/4/17,15:57:25,15:58:35,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793349,13793349,Rosa_woodsii,Rosa_woodsii,9379380,9379523,328777,328777,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793349.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793349.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,4,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.04,5.62,2024/4/17,2024/4/17,16:01:51,16:02:18,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
16900222,16900222,Rosa_woodsii,Rosa_woodsii,9378452,9380229,328875,328875,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.16900222.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.16900222.jpg,0,0,15,13,0,0,FALSE,TRUE,1,1,1,4,A2CKTDQHD412I6,A2CKTDQHD412I6,21489,21489,111.83,160.72,2024/4/17,2024/4/17,15:58:33,16:04:28,93,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793379,13793379,Rosa_woodsii,Rosa_woodsii,9380070,9380779,328802,328802,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793379.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793379.jpg,10,6,5,3,8,4,FALSE,TRUE,3,1,1,7,A1GYII3R62TH65,A1GYII3R62TH65,21490,21490,63.98,63.17,2024/4/17,2024/4/17,16:03:46,16:05:50,73,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13940160,13940160,Rosa_woodsii,Rosa_woodsii,9379467,9380745,328859,328859,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13940160.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13940160.jpg,0,0,2,2,0,0,FALSE,TRUE,1,1,5,10,A10KT4TMX5RBFF,A10KT4TMX5RBFF,23178,23178,16.43,14.28,2024/4/17,2024/4/17,16:02:10,16:05:44,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793343,13793343,Rosa_woodsii,Rosa_woodsii,9380376,9380837,328775,328775,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793343.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793343.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,3,9,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.59,6.38,2024/4/17,2024/4/17,16:04:53,16:06:01,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
16900219,16900219,Rosa_woodsii,Rosa_woodsii,9380274,9380995,328873,328873,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.16900219.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.16900219.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,1,8,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,6.23,11.64,2024/4/17,2024/4/17,16:04:35,16:06:18,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793307,13793307,Rosa_woodsii,Rosa_woodsii,9382665,9382836,328751,328751,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793307.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793307.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,5,8,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.04,5.39,2024/4/17,2024/4/17,16:10:42,16:11:10,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
11602762,11602762,Rosa_woodsii,Rosa_woodsii,9383202,9383309,328712,328712,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.11602762.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.11602762.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,4,6,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.2,5.23,2024/4/17,2024/4/17,16:12:17,16:12:35,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
7358500,7358500,Rosa_woodsii,Rosa_woodsii,9384570,9384939,328703,328703,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.7358500.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.7358500.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,10,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.37,6.29,2024/4/17,2024/4/17,16:18:32,16:19:35,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
6043580,6043580,Rosa_woodsii,Rosa_woodsii,9385103,9385448,328692,328692,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.6043580.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.6043580.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,2,7,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.72,6.17,2024/4/17,2024/4/17,16:20:03,16:20:56,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
3016158,3016158,Rosa_woodsii,Rosa_woodsii,9385897,9386299,328598,328598,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.3016158.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.3016158.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,3,9,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,7.75,6.2,2024/4/17,2024/4/17,16:22:05,16:23:02,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
12969978,12969978,Rosa_woodsii,Rosa_woodsii,9385128,9386695,328714,328714,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.12969978.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.12969978.jpg,4,5,0,0,3,3,FALSE,TRUE,1,1,4,10,A1QZ3Q32BK3BVB,A1QZ3Q32BK3BVB,22326,22326,24.21,27.85,2024/4/17,2024/4/17,16:20:08,16:23:53,94,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793290,13793290,Rosa_woodsii,Rosa_woodsii,9385621,9386647,328740,328740,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793290.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793290.jpg,0,0,0,1,1,0,FALSE,TRUE,1,1,2,7,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,17.5,20.32,2024/4/17,2024/4/17,16:21:23,16:23:46,0,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
1720515,1720515,Rosa_woodsii,Rosa_woodsii,9386523,9386995,328582,328582,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1720515.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1720515.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,1,6,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.79,5.79,2024/4/17,2024/4/17,16:23:32,16:24:31,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
13793318,13793318,Rosa_woodsii,Rosa_woodsii,9385472,9388473,328761,328761,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793318.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.13793318.jpg,0,0,0,0,0,0,FALSE,TRUE,2,2,5,10,A10KT4TMX5RBFF,A10KT4TMX5RBFF,23178,23178,12.21,14.34,2024/4/17,2024/4/17,16:20:59,16:28:12,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
1718684,1718684,Rosa_woodsii,Rosa_woodsii,9387409,9389409,328575,328575,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1718684.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1718684.jpg,4,5,0,0,2,2,FALSE,TRUE,2,2,1,9,A1QZ3Q32BK3BVB,A1QZ3Q32BK3BVB,22326,22326,88.84,35.27,2024/4/17,2024/4/17,16:25:39,16:30:44,93,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
1773069,1773069,Rosa_woodsii,Rosa_woodsii,9388362,9389434,328592,328592,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1773069.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1773069.jpg,4,4,2,2,0,0,FALSE,TRUE,1,1,2,8,A66GVEZ7BBLH,A66GVEZ7BBLH,3019,3019,41.1,32.26,2024/4/17,2024/4/17,16:27:48,16:30:46,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
1714535,1714535,Rosa_woodsii,Rosa_woodsii,9389077,9389335,328562,328562,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1714535.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1714535.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,6,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.88,6.39,2024/4/17,2024/4/17,16:29:53,16:30:31,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
4092441,4092441,Rosa_woodsii,Rosa_woodsii,9388969,9390067,328679,328679,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.4092441.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.4092441.jpg,9,9,2,2,2,2,FALSE,TRUE,1,1,3,6,A17R7WX5B0CKK6,A17R7WX5B0CKK6,23207,23207,212.77,43.07,2024/4/17,2024/4/17,16:29:35,16:32:14,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
1711598,1711598,Rosa_woodsii,Rosa_woodsii,9389720,9390050,328544,328544,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1711598.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1711598.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,2,6,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,6.41,6.64,2024/4/17,2024/4/17,16:31:31,16:32:12,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
1713564,1713564,Rosa_woodsii,Rosa_woodsii,9390257,9390558,328555,328555,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1713564.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1713564.jpg,0,0,0,0,4,4,FALSE,TRUE,3,3,7,9,A10KT4TMX5RBFF,A10KT4TMX5RBFF,23178,23178,12.16,16.8,2024/4/17,2024/4/17,16:32:39,16:33:20,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
1663722,1663722,Rosa_woodsii,Rosa_woodsii,9390743,9391055,328519,328519,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1663722.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Rosa_woodsii/images/Rosa_woodsii.1663722.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,4,8,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,5.53,5.9,2024/4/17,2024/4/17,16:33:42,16:34:18,100,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,3XABXM4AKKPA6YO5FV96E2TK2Q08Q9,FALSE,FALSE
