coreID,species,annotation-ID,image-ID,image-URL,bud,flower,fruit,is-duplicated,set-number,sequence,username,user-ID,time-spent (seconds),date,time,hit-id,is-test
24674103,Rubus_deliciosus,9373243,329169,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24674103.jpg,1,4,0,FALSE,1,1,AWCDPGGSOIHRM,20994,47.82,2024/4/17,15:45:19,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
24717014,Rubus_deliciosus,9373556,329171,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24717014.jpg,3,4,2,FALSE,1,2,AWCDPGGSOIHRM,20994,46.36,2024/4/17,15:46:11,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
24632759,Rubus_deliciosus,9374198,329165,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24632759.jpg,4,8,2,FALSE,1,3,AWCDPGGSOIHRM,20994,85.01,2024/4/17,15:47:39,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
24701152,Rubus_deliciosus,9374551,329170,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24701152.jpg,0,5,3,FALSE,1,4,AWCDPGGSOIHRM,20994,44.57,2024/4/17,15:48:27,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
24743193,Rubus_deliciosus,9374874,329172,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24743193.jpg,3,0,13,FALSE,1,5,AWCDPGGSOIHRM,20994,46.85,2024/4/17,15:49:17,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
29789056,Rubus_deliciosus,9376175,329190,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.29789056.jpg,7,2,0,FALSE,1,1,A3MSYMSTHZJI98,15070,12.64,2024/4/17,15:52:46,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
24759541,Rubus_deliciosus,9375132,329173,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24759541.jpg,1,0,3,FALSE,1,6,AWCDPGGSOIHRM,20994,43.88,2024/4/17,15:50:02,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
29072108,Rubus_deliciosus,9376928,329184,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.29072108.jpg,0,9,1,FALSE,1,2,A3MSYMSTHZJI98,15070,14.63,2024/4/17,15:55:08,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
24642467,Rubus_deliciosus,9375300,329167,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24642467.jpg,2,2,3,FALSE,1,7,AWCDPGGSOIHRM,20994,29.54,2024/4/17,15:50:34,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
24643277,Rubus_deliciosus,9375425,329168,https://crowdcurio-experiment-images.s3.amazonaws.com/Rubus_deliciosus/images/Rubus_deliciosus.24643277.jpg,1,2,0,FALSE,1,8,AWCDPGGSOIHRM,20994,19.36,2024/4/17,15:50:56,3BA7SXOG22AAIZ35SAY6JS3PYC28RA,FALSE
