coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24683685,24683685,Silene_antirrhina,Silene_antirrhina,9385586,9387090,330234,330234,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.24683685.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.24683685.jpg,0,0,1,0,2,2,FALSE,TRUE,1,1,2,8,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,36.4,25.05,2024/4/17,2024/4/17,16:21:17,16:24:45,80,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
13842283,13842283,Silene_antirrhina,Silene_antirrhina,9415236,9416438,330200,330200,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13842283.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13842283.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,1,9,A3AL2W0OZSYIY5,A3AL2W0OZSYIY5,20245,20245,83.47,8.56,2024/4/17,2024/4/17,17:52:05,17:55:44,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
13843717,13843717,Silene_antirrhina,Silene_antirrhina,9434047,9434455,330216,330216,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13843717.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13843717.jpg,4,0,0,0,0,4,FALSE,TRUE,1,1,5,10,A4A66G10CLVDX,A4A66G10CLVDX,23309,23309,15.8,15.15,2024/4/17,2024/4/17,18:49:21,18:50:43,0,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
4570058,4570058,Silene_antirrhina,Silene_antirrhina,9438457,9438612,330190,330190,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.4570058.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.4570058.jpg,0,0,3,1,0,0,FALSE,TRUE,1,1,5,7,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,14.54,11.37,2024/4/17,2024/4/17,19:04:03,19:04:29,50,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
3041711,3041711,Silene_antirrhina,Silene_antirrhina,9439812,9439920,330180,330180,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.3041711.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.3041711.jpg,0,0,2,1,0,0,FALSE,TRUE,1,1,1,9,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,9.35,7.52,2024/4/17,2024/4/17,19:43:02,19:43:45,67,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
487471,487471,Silene_antirrhina,Silene_antirrhina,9445911,9446077,330169,330169,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.487471.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.487471.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,3,7,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.29,7.67,2024/4/17,2024/4/17,20:12:22,20:13:00,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
16903421,16903421,Silene_antirrhina,Silene_antirrhina,9446304,9446376,330225,330225,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.16903421.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.16903421.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,3,6,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.28,7.05,2024/4/17,2024/4/17,20:14:01,20:14:27,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
8632433,8632433,Silene_antirrhina,Silene_antirrhina,9446656,9446723,330198,330198,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.8632433.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.8632433.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,4,6,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.84,5.88,2024/4/17,2024/4/17,20:15:51,20:16:10,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
1160841,1160841,Silene_antirrhina,Silene_antirrhina,9446870,9446955,330173,330173,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.1160841.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.1160841.jpg,0,0,1,1,0,0,FALSE,TRUE,4,4,1,4,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.02,6.99,2024/4/17,2024/4/17,20:17:02,20:17:30,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
24683685,24683685,Silene_antirrhina,Silene_antirrhina,9447404,9447620,330234,330234,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.24683685.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.24683685.jpg,0,0,1,1,0,0,FALSE,TRUE,5,5,3,7,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.68,7.21,2024/4/17,2024/4/17,20:19:00,20:19:40,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
13842283,13842283,Silene_antirrhina,Silene_antirrhina,9448027,9448186,330200,330200,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13842283.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13842283.jpg,0,0,1,1,0,0,FALSE,TRUE,6,6,5,8,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.35,5.29,2024/4/17,2024/4/17,20:21:01,20:21:28,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
13844600,13844600,Silene_antirrhina,Silene_antirrhina,9448536,9448693,330220,330220,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13844600.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13844600.jpg,0,0,1,1,0,0,FALSE,TRUE,7,7,5,9,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,6.31,5.62,2024/4/17,2024/4/17,20:22:42,20:23:16,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
4570059,4570059,Silene_antirrhina,Silene_antirrhina,9448865,9448968,330191,330191,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.4570059.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.4570059.jpg,0,0,1,1,0,0,FALSE,TRUE,8,8,3,6,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.09,8.81,2024/4/17,2024/4/17,20:24:06,20:24:35,100,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
13842294,13842294,Silene_antirrhina,Silene_antirrhina,9474204,9474468,330209,330209,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13842294.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Silene_antirrhina/images/Silene_antirrhina.13842294.jpg,22,18,0,0,0,0,FALSE,TRUE,1,1,6,8,ARWL0WMKKB9OZ,ARWL0WMKKB9OZ,22667,22667,27.43,21.43,2024/4/17,2024/4/17,22:33:59,22:34:47,90,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,3VIVIU06G3WCAP2QWOEGAI3TVL8MI8,FALSE,FALSE
