coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24377676,24377676,Sisyrinchium_demissum,Sisyrinchium_demissum,9377369,9377883,330896,330896,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24377676.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24377676.jpg,0,0,6,5,3,5,FALSE,TRUE,1,1,1,4,A1O9PMTIIVGDEW,A1O9PMTIIVGDEW,21945,21945,31.27,28.54,2024/4/17,2024/4/17,15:56:06,15:57:21,85,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
15924447,15924447,Sisyrinchium_demissum,Sisyrinchium_demissum,9381354,9382447,330889,330889,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.15924447.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.15924447.jpg,3,3,0,0,9,7,FALSE,TRUE,1,1,2,6,A2DOE2W2JBA9IQ,A2DOE2W2JBA9IQ,10423,10423,114.8,43.19,2024/4/17,2024/4/17,16:07:09,16:10:04,91,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
3877229,3877229,Sisyrinchium_demissum,Sisyrinchium_demissum,9388385,9388710,330858,330858,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.3877229.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.3877229.jpg,0,0,3,4,5,4,FALSE,TRUE,2,2,5,7,A2DOE2W2JBA9IQ,A2DOE2W2JBA9IQ,10423,10423,31.27,22.49,2024/4/17,2024/4/17,16:27:52,16:28:52,88,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
495489,495489,Sisyrinchium_demissum,Sisyrinchium_demissum,9390878,9392514,330845,330845,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.495489.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.495489.jpg,0,0,4,5,20,22,FALSE,TRUE,3,3,5,10,A2DOE2W2JBA9IQ,A2DOE2W2JBA9IQ,10423,10423,49.98,59.18,2024/4/17,2024/4/17,16:33:58,16:37:24,95,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
4570476,4570476,Sisyrinchium_demissum,Sisyrinchium_demissum,9393051,9393962,330873,330873,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4570476.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4570476.jpg,7,5,3,3,18,17,FALSE,TRUE,1,1,3,5,ARJDD0Z3R65BD,ARJDD0Z3R65BD,20667,20667,133.65,103.54,2024/4/17,2024/4/17,16:38:27,16:40:25,95,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
3509326,3509326,Sisyrinchium_demissum,Sisyrinchium_demissum,9393231,9394679,330854,330854,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.3509326.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.3509326.jpg,2,0,0,0,0,2,FALSE,TRUE,4,4,3,10,A2DOE2W2JBA9IQ,A2DOE2W2JBA9IQ,10423,10423,21.96,21.43,2024/4/17,2024/4/17,16:38:49,16:42:06,0,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
1395604,1395604,Sisyrinchium_demissum,Sisyrinchium_demissum,9394468,9395692,330849,330849,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.1395604.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.1395604.jpg,0,0,0,0,2,2,FALSE,TRUE,1,1,1,9,AWX51FW8ZI6M7,AWX51FW8ZI6M7,20375,20375,11.95,10.22,2024/4/17,2024/4/17,16:41:36,16:44:29,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
24772997,24772997,Sisyrinchium_demissum,Sisyrinchium_demissum,9395997,9396531,330902,330902,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24772997.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24772997.jpg,0,0,0,0,5,4,FALSE,TRUE,2,2,1,6,AWX51FW8ZI6M7,AWX51FW8ZI6M7,20375,20375,18.1,11.47,2024/4/17,2024/4/17,16:45:15,16:46:41,89,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
24133465,24133465,Sisyrinchium_demissum,Sisyrinchium_demissum,9397403,9398406,330894,330894,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24133465.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24133465.jpg,0,0,0,1,2,2,FALSE,TRUE,3,3,2,10,AWX51FW8ZI6M7,AWX51FW8ZI6M7,20375,20375,10.14,15.25,2024/4/17,2024/4/17,16:48:43,16:51:14,80,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
13825254,13825254,Sisyrinchium_demissum,Sisyrinchium_demissum,9398584,9398972,330887,330887,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.13825254.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.13825254.jpg,0,0,0,0,6,5,FALSE,TRUE,4,4,1,7,AWX51FW8ZI6M7,AWX51FW8ZI6M7,20375,20375,18.79,13.86,2024/4/17,2024/4/17,16:51:46,16:53:08,91,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
4115276,4115276,Sisyrinchium_demissum,Sisyrinchium_demissum,9399487,9400229,330869,330869,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4115276.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4115276.jpg,0,0,0,0,5,5,FALSE,TRUE,5,5,1,9,AWX51FW8ZI6M7,AWX51FW8ZI6M7,20375,20375,13.76,12.38,2024/4/17,2024/4/17,16:54:40,16:56:45,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
3696257,3696257,Sisyrinchium_demissum,Sisyrinchium_demissum,9400806,9401130,330856,330856,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.3696257.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.3696257.jpg,0,0,0,0,7,7,FALSE,TRUE,6,6,2,5,AWX51FW8ZI6M7,AWX51FW8ZI6M7,20375,20375,19.31,16.62,2024/4/17,2024/4/17,16:58:13,16:59:01,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
1391810,1391810,Sisyrinchium_demissum,Sisyrinchium_demissum,9401670,9402345,330848,330848,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.1391810.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.1391810.jpg,4,4,0,0,2,2,FALSE,TRUE,1,1,8,10,A3GRBNEZF8U3T,A3GRBNEZF8U3T,20778,20778,34.88,48.16,2024/4/17,2024/4/17,17:00:23,17:02:09,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
24608232,24608232,Sisyrinchium_demissum,Sisyrinchium_demissum,9408826,,330897,330897,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24608232.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24608232.jpg,1,1,0,0,5,2,FALSE,TRUE,1,1,3,5,A3GRBNEZF8U3T,A3GRBNEZF8U3T,20778,20778,12.38,0,2024/4/17,,17:23:20,,67,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,,FALSE,FALSE
24160657,24160657,Sisyrinchium_demissum,Sisyrinchium_demissum,9409686,9409987,330895,330895,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24160657.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24160657.jpg,5,2,5,0,4,5,FALSE,TRUE,1,1,7,9,A3GRBNEZF8U3T,A3GRBNEZF8U3T,20778,20778,21.54,25.04,2024/4/17,2024/4/17,17:25:32,17:26:15,58,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
4570476,4570476,Sisyrinchium_demissum,Sisyrinchium_demissum,9421502,9421814,330873,330873,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4570476.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4570476.jpg,0,0,0,0,5,5,FALSE,TRUE,1,1,3,6,AYFCGRGFZ81VS,AYFCGRGFZ81VS,23229,23229,11.83,20.35,2024/4/17,2024/4/17,18:08:30,18:09:35,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
4015835,4015835,Sisyrinchium_demissum,Sisyrinchium_demissum,9444149,9444370,330861,330861,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4015835.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.4015835.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,8,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.56,5.43,2024/4/17,2024/4/17,20:05:44,20:06:37,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
24772983,24772983,Sisyrinchium_demissum,Sisyrinchium_demissum,9444605,9444927,330901,330901,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24772983.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.24772983.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,3,10,A1QYJI4ZXKVWU,A1QYJI4ZXKVWU,18911,18911,5.84,5.45,2024/4/17,2024/4/17,20:07:30,20:08:37,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
2876366,2876366,Sisyrinchium_demissum,Sisyrinchium_demissum,9468070,9469224,330851,330851,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.2876366.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_demissum/images/Sisyrinchium_demissum.2876366.jpg,0,0,2,2,5,5,FALSE,TRUE,1,1,2,7,A281TGXN4OCEGO,A281TGXN4OCEGO,23414,23414,45.8,61.79,2024/4/17,2024/4/17,22:06:21,22:11:01,100,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,36D1BWBEI6L8Z4OO7LTON2WC6PB2MD,FALSE,FALSE
