coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24677268,24677268,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9383024,9383448,331221,331221,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.24677268.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.24677268.jpg,0,2,2,3,4,4,FALSE,TRUE,1,1,4,7,A2CF0PBA5YX247,A2CF0PBA5YX247,21199,21199,17.63,37.41,2024/4/17,2024/4/17,16:11:44,16:13:07,80,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
6166723,6166723,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9385223,9386180,331208,331208,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.6166723.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.6166723.jpg,1,1,1,1,0,0,FALSE,TRUE,1,1,3,7,A2CF0PBA5YX247,A2CF0PBA5YX247,21199,21199,13.6,19.33,2024/4/17,2024/4/17,16:20:24,16:22:45,100,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
1459807,1459807,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9387352,9387719,331198,331198,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459807.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459807.jpg,1,1,0,0,13,13,FALSE,TRUE,2,2,3,5,A2CF0PBA5YX247,A2CF0PBA5YX247,21199,21199,21.08,25.3,2024/4/17,2024/4/17,16:25:30,16:26:19,100,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
1459796,1459796,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9388707,9389405,331188,331188,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459796.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459796.jpg,2,2,1,1,2,2,FALSE,TRUE,3,3,2,6,A2CF0PBA5YX247,A2CF0PBA5YX247,21199,21199,16.14,20.32,2024/4/17,2024/4/17,16:28:52,16:30:43,100,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
1459783,1459783,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9390692,9391070,331177,331177,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459783.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459783.jpg,1,2,3,3,2,2,FALSE,TRUE,4,4,1,3,A2CF0PBA5YX247,A2CF0PBA5YX247,21199,21199,40.19,24.15,2024/4/17,2024/4/17,16:33:37,16:34:19,93,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
26987449,26987449,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9392609,9393266,331230,331230,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.26987449.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.26987449.jpg,0,1,0,0,7,7,FALSE,TRUE,5,5,1,4,A2CF0PBA5YX247,A2CF0PBA5YX247,21199,21199,15.26,22.61,2024/4/17,2024/4/17,16:37:34,16:38:53,94,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
1459786,1459786,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9394588,9394884,331180,331180,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459786.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459786.jpg,1,1,1,1,3,4,FALSE,TRUE,1,1,6,8,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,45.32,17.62,2024/4/17,2024/4/17,16:41:53,16:42:37,91,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
1459788,1459788,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9394693,9395033,331182,331182,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459788.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.1459788.jpg,2,1,0,1,18,18,FALSE,TRUE,6,6,2,4,A2CF0PBA5YX247,A2CF0PBA5YX247,21199,21199,32.97,29.77,2024/4/17,2024/4/17,16:42:07,16:42:55,95,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
27199753,27199753,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9398541,9398901,331232,331232,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.27199753.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.27199753.jpg,1,1,1,1,0,0,FALSE,TRUE,1,1,7,10,AZCV7QLMDTL1C,AZCV7QLMDTL1C,23225,23225,13.79,12.21,2024/4/17,2024/4/17,16:51:40,16:52:54,100,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
4748712,4748712,Sisyrinchium_pallidum,Sisyrinchium_pallidum,9410868,9412405,331205,331205,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.4748712.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Sisyrinchium_pallidum/images/Sisyrinchium_pallidum.4748712.jpg,0,0,0,0,14,15,FALSE,TRUE,1,1,2,8,A3BU69EKYL6SH3,A3BU69EKYL6SH3,11662,11662,53.58,52.06,2024/4/17,2024/4/17,17:28:14,17:32:03,97,3LAZVA75O1BWZ790K181F6LH1PQ2OS,3LAZVA75O1BWZ790K181F6LH1PQ2OS,FALSE,FALSE
