coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
30365512,30365512,Viola_adunca,Viola_adunca,9391198,9392946,339137,339137,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.30365512.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.30365512.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,2,6,A2U8NVN9P8BA59,A2U8NVN9P8BA59,20124,20124,19.23,17.25,2024/4/17,2024/4/17,16:34:36,16:38:11,100,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
28891233,28891233,Viola_adunca,Viola_adunca,9393315,9394576,339127,339127,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.28891233.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.28891233.jpg,0,0,4,5,0,0,FALSE,TRUE,1,1,1,10,A3BI5KG6LMG39V,A3BI5KG6LMG39V,20928,20928,10.88,20.44,2024/4/17,2024/4/17,16:38:59,16:41:51,89,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
28890752,28890752,Viola_adunca,Viola_adunca,9394819,9395701,339125,339125,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.28890752.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.28890752.jpg,0,0,2,3,0,0,FALSE,TRUE,2,2,2,8,A3BI5KG6LMG39V,A3BI5KG6LMG39V,20928,20928,10.3,15.85,2024/4/17,2024/4/17,16:42:25,16:44:31,80,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
27203336,27203336,Viola_adunca,Viola_adunca,9396140,9396315,339116,339116,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.27203336.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.27203336.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,2,4,A3BI5KG6LMG39V,A3BI5KG6LMG39V,20928,20928,6.03,8.35,2024/4/17,2024/4/17,16:45:41,16:46:07,100,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
25184901,25184901,Viola_adunca,Viola_adunca,9397637,9398119,339100,339100,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.25184901.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.25184901.jpg,0,0,9,8,0,0,FALSE,TRUE,4,4,4,8,A3BI5KG6LMG39V,A3BI5KG6LMG39V,20928,20928,14.84,12.07,2024/4/17,2024/4/17,16:49:18,16:50:31,95,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
25142283,25142283,Viola_adunca,Viola_adunca,9398549,9398990,339098,339098,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.25142283.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.25142283.jpg,0,0,4,6,0,0,FALSE,TRUE,5,5,2,7,A3BI5KG6LMG39V,A3BI5KG6LMG39V,20928,20928,11.18,23.74,2024/4/17,2024/4/17,16:51:40,16:53:12,80,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
24760790,24760790,Viola_adunca,Viola_adunca,9399739,9400977,339082,339082,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24760790.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24760790.jpg,0,1,4,2,0,1,FALSE,TRUE,6,6,2,8,A3BI5KG6LMG39V,A3BI5KG6LMG39V,20928,20928,30.14,30.4,2024/4/17,2024/4/17,16:55:19,16:58:39,50,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
24742979,24742979,Viola_adunca,Viola_adunca,9407279,9408008,339076,339076,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24742979.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24742979.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,7,10,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,22.35,16.11,2024/4/17,2024/4/17,17:17:06,17:19:17,100,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
24718162,24718162,Viola_adunca,Viola_adunca,9408353,9409604,339048,339048,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24718162.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24718162.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,4,10,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,7.46,119.93,2024/4/17,2024/4/17,17:21:49,17:25:19,100,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
24697471,24697471,Viola_adunca,Viola_adunca,9410318,9410480,339027,339027,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24697471.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_adunca/images/Viola_adunca.24697471.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,5,7,A2UM9PEWDWXFC3,A2UM9PEWDWXFC3,19177,19177,5.96,10.37,2024/4/17,2024/4/17,17:27:06,17:27:29,100,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,3ZXV7Q5FKU8FRCO9IREH4PLPLFCCFP,FALSE,FALSE
