coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
13779240,13779240,Viola_labradorica,Viola_labradorica,9417508,9418013,339696,339696,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779240.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779240.jpg,0,0,4,4,0,0,FALSE,TRUE,1,1,1,5,A21S5WXCFUZQ3F,A21S5WXCFUZQ3F,19418,19418,31.42,15.86,2024/4/17,2024/4/17,17:58:01,17:59:15,100,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
13779227,13779227,Viola_labradorica,Viola_labradorica,9420166,9421130,339689,339689,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779227.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779227.jpg,0,0,2,4,0,0,FALSE,TRUE,2,2,1,10,A21S5WXCFUZQ3F,A21S5WXCFUZQ3F,19418,19418,20.69,8.2,2024/4/17,2024/4/17,18:04:31,18:07:14,67,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
6090173,6090173,Viola_labradorica,Viola_labradorica,9422322,9426022,339675,339675,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.6090173.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.6090173.jpg,0,0,9,7,0,0,FALSE,TRUE,1,1,1,6,A2BOC2YV96FJQE,A2BOC2YV96FJQE,22588,22588,161.24,50.07,2024/4/17,2024/4/17,18:11:23,18:22:57,88,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
4838825,4838825,Viola_labradorica,Viola_labradorica,9429208,9429951,339663,339663,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.4838825.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.4838825.jpg,2,0,12,13,0,0,FALSE,TRUE,2,2,2,4,A2BOC2YV96FJQE,A2BOC2YV96FJQE,22588,22588,71.89,54.81,2024/4/17,2024/4/17,18:32:33,18:34:49,89,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
23889578,23889578,Viola_labradorica,Viola_labradorica,9433951,9436064,339751,339751,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.23889578.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.23889578.jpg,1,3,5,5,1,1,FALSE,TRUE,3,3,1,6,A2BOC2YV96FJQE,A2BOC2YV96FJQE,22588,22588,77.15,53.32,2024/4/17,2024/4/17,18:49:00,18:55:52,88,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
13779275,13779275,Viola_labradorica,Viola_labradorica,9439446,9439801,339725,339725,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779275.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779275.jpg,0,0,4,4,0,0,FALSE,TRUE,1,1,2,6,A3NGN0SM7SBYB9,A3NGN0SM7SBYB9,20742,20742,20.83,15.71,2024/4/17,2024/4/17,19:29:52,19:42:59,100,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
13779248,13779248,Viola_labradorica,Viola_labradorica,9453446,9454698,339704,339704,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779248.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779248.jpg,0,0,16,13,0,0,FALSE,TRUE,1,1,4,8,A1LNPJVOI87I5M,A1LNPJVOI87I5M,21111,21111,37.23,60.67,2024/4/17,2024/4/17,20:41:46,20:46:36,90,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
13779264,13779264,Viola_labradorica,Viola_labradorica,9456044,9456515,339717,339717,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779264.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.13779264.jpg,0,0,9,9,0,0,FALSE,TRUE,1,1,7,10,A3NGN0SM7SBYB9,A3NGN0SM7SBYB9,20742,20742,21.87,43.26,2024/4/17,2024/4/17,20:52:38,20:55:02,100,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
21099364,21099364,Viola_labradorica,Viola_labradorica,9472254,9472391,339747,339747,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.21099364.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.21099364.jpg,0,0,2,3,0,0,FALSE,TRUE,1,1,2,4,AWX51FW8ZI6M7,AWX51FW8ZI6M7,20375,20375,10.41,11.87,2024/4/17,2024/4/17,22:27:12,22:27:47,80,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
3042535,3042535,Viola_labradorica,Viola_labradorica,9472599,9473060,339651,339651,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.3042535.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_labradorica/images/Viola_labradorica.3042535.jpg,0,0,9,9,0,0,FALSE,TRUE,1,1,5,10,A12FVED8BAXLEE,A12FVED8BAXLEE,12941,12941,35.49,12.76,2024/4/17,2024/4/17,22:28:41,22:30:10,100,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,360ZO6N6KK3JZO9NSU83XP4QCVL9MC,FALSE,FALSE
