coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
27180004,27180004,Viola_praemorsa,Viola_praemorsa,9390536,9392014,340583,340583,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.27180004.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.27180004.jpg,9,11,2,4,0,0,FALSE,TRUE,1,1,4,7,A2JNTIHW5ZCHBY,A2JNTIHW5ZCHBY,23197,23197,69.54,65.32,2024/4/17,2024/4/17,16:33:17,16:36:19,85,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
27179847,27179847,Viola_praemorsa,Viola_praemorsa,9394155,9394667,340576,340576,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.27179847.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.27179847.jpg,3,2,2,3,0,0,FALSE,TRUE,1,1,4,7,A3MSYMSTHZJI98,A3MSYMSTHZJI98,15070,15070,21.35,24.75,2024/4/17,2024/4/17,16:40:53,16:42:03,80,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
27179768,27179768,Viola_praemorsa,Viola_praemorsa,9392733,9394974,340565,340565,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.27179768.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.27179768.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,2,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,11.58,103.18,2024/4/17,2024/4/17,16:37:47,16:42:47,100,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
22125659,22125659,Viola_praemorsa,Viola_praemorsa,9395232,9396065,340550,340550,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.22125659.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.22125659.jpg,0,0,2,1,0,0,FALSE,TRUE,2,2,1,9,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,24.94,13.12,2024/4/17,2024/4/17,16:43:23,16:45:26,67,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
13779397,13779397,Viola_praemorsa,Viola_praemorsa,9396502,9396714,340535,340535,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.13779397.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.13779397.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,2,4,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,10.33,13.38,2024/4/17,2024/4/17,16:46:37,16:47:10,100,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
24709570,24709570,Viola_praemorsa,Viola_praemorsa,9393973,9404987,340554,340554,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.24709570.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.24709570.jpg,0,1,1,1,0,0,FALSE,TRUE,2,2,1,9,A2JNTIHW5ZCHBY,A2JNTIHW5ZCHBY,23197,23197,18.31,22.61,2024/4/17,2024/4/17,16:40:27,17:08:12,67,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
6081473,6081473,Viola_praemorsa,Viola_praemorsa,9411076,9411298,340511,340511,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.6081473.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.6081473.jpg,0,0,2,1,0,0,FALSE,TRUE,1,1,7,10,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,10.29,8.12,2024/4/17,2024/4/17,17:28:42,17:29:15,67,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
4700733,4700733,Viola_praemorsa,Viola_praemorsa,9415062,9415181,340485,340485,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.4700733.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.4700733.jpg,0,0,1,1,0,0,FALSE,TRUE,1,1,4,6,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,15.61,12.63,2024/4/17,2024/4/17,17:51:22,17:51:49,100,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
4696964,4696964,Viola_praemorsa,Viola_praemorsa,9416693,9416989,340473,340473,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.4696964.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.4696964.jpg,0,0,1,1,0,0,FALSE,TRUE,2,2,4,6,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,18.41,17.38,2024/4/17,2024/4/17,17:56:21,17:56:57,100,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
3101589,3101589,Viola_praemorsa,Viola_praemorsa,9418123,9418822,340467,340467,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.3101589.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_praemorsa/images/Viola_praemorsa.3101589.jpg,0,0,1,1,0,0,FALSE,TRUE,3,3,4,9,A38UUB83BIPIUR,A38UUB83BIPIUR,19792,19792,18.37,27.21,2024/4/17,2024/4/17,17:59:33,18:01:11,100,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,3TKXBROM6CUM9HW5TR1OUQBCRRDIJ0,FALSE,FALSE
