coreID1,coreID2,species1,species2,annotation-ID1,annotation-ID2,image-ID1,image-ID2,image-URL1,image-URL2,bud1,bud2,flower1,flower2,fruit1,fruit2,is-duplicated1,is-duplicated2,setNum1,setNum2,sequence1,sequence2,username1,username2,user-ID1,user-ID2,time-spent1 (seconds),time-spent2 (seconds),date1,date2,time1,time2,dejavu-score (%),hit-id1,hit-id2,is-test1,is-test2
24769318,24769318,Viola_vallicola,Viola_vallicola,9394412,9395030,340950,340950,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.24769318.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.24769318.jpg,2,1,3,6,0,0,FALSE,TRUE,1,1,1,3,A7AXX2D0U74SP,A7AXX2D0U74SP,20415,20415,35.78,28.6,2024/4/17,2024/4/17,16:41:28,16:42:54,67,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
27180026,27180026,Viola_vallicola,Viola_vallicola,9395427,9397010,340965,340965,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.27180026.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.27180026.jpg,3,4,7,2,4,1,FALSE,TRUE,1,1,2,9,A1LVBPJA5EVPI3,A1LVBPJA5EVPI3,23208,23208,97.78,19.35,2024/4/17,2024/4/17,16:43:48,16:47:47,58,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
4709432,4709432,Viola_vallicola,Viola_vallicola,9417018,9417445,340886,340886,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.4709432.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.4709432.jpg,0,0,7,7,0,0,FALSE,TRUE,1,1,3,6,A358C6HDASF063,A358C6HDASF063,20477,20477,15.64,14.2,2024/4/17,2024/4/17,17:57:00,17:57:55,100,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
2848510,2848510,Viola_vallicola,Viola_vallicola,9418991,9419188,340869,340869,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.2848510.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.2848510.jpg,0,0,10,12,0,0,FALSE,TRUE,2,2,7,9,A358C6HDASF063,A358C6HDASF063,20477,20477,15.03,17.53,2024/4/17,2024/4/17,18:01:35,18:02:06,91,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
2805692,2805692,Viola_vallicola,Viola_vallicola,9419599,9419893,340867,340867,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.2805692.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.2805692.jpg,3,3,3,2,5,4,FALSE,TRUE,3,3,1,3,A358C6HDASF063,A358C6HDASF063,20477,20477,32.86,29.07,2024/4/17,2024/4/17,18:03:09,18:03:55,90,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
1665900,1665900,Viola_vallicola,Viola_vallicola,9440075,9440208,340827,340827,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1665900.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1665900.jpg,0,0,2,3,0,0,FALSE,TRUE,1,1,1,6,A1ZWQ6OJ3RPX58,A1ZWQ6OJ3RPX58,19742,19742,16.08,10.75,2024/4/17,2024/4/17,19:46:12,19:47:23,80,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
1659704,1659704,Viola_vallicola,Viola_vallicola,9440818,9440930,340818,340818,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1659704.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1659704.jpg,0,0,6,5,0,0,FALSE,TRUE,2,2,6,8,A1ZWQ6OJ3RPX58,A1ZWQ6OJ3RPX58,19742,19742,15.45,15.24,2024/4/17,2024/4/17,19:50:21,19:50:48,91,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
1647815,1647815,Viola_vallicola,Viola_vallicola,9441229,9441284,340812,340812,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1647815.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1647815.jpg,2,0,3,3,0,0,FALSE,TRUE,3,3,5,7,A1ZWQ6OJ3RPX58,A1ZWQ6OJ3RPX58,19742,19742,12.34,6.6,2024/4/17,2024/4/17,19:52:41,19:52:56,75,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
1617530,1617530,Viola_vallicola,Viola_vallicola,9452259,9452759,340798,340798,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1617530.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1617530.jpg,0,0,3,3,0,0,FALSE,TRUE,1,1,3,8,A2P0ZJ62EKQTL0,A2P0ZJ62EKQTL0,23137,23137,14.13,12.96,2024/4/17,2024/4/17,20:37:34,20:39:15,100,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
1596241,1596241,Viola_vallicola,Viola_vallicola,9456616,9456879,340788,340788,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1596241.jpg,https://crowdcurio-experiment-images.s3.amazonaws.com/Viola_vallicola/images/Viola_vallicola.1596241.jpg,1,1,1,1,0,0,FALSE,TRUE,1,1,1,7,A2707P04HLJVP2,A2707P04HLJVP2,20363,20363,14.6,10.99,2024/4/17,2024/4/17,20:55:37,20:56:58,100,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,3NRZ1LDP8FQ4QIODO8UURH0EW3LPZ4,FALSE,FALSE
